group,learner_need,question_policy,answer_policy,tone_policy,n,question_first,answer_reveal_correct,warmth_marker,question_any,answer_reveal_any,word_count,char_count,sentence_count
ALL,direct,explain_only,reveal,neutral,40,0.0,0.95,0.0,0.0,1.0,59.825,329.725,4.775
ALL,direct,explain_only,reveal,warm,40,0.0,1.0,0.4,0.0,1.0,81.775,451.45,5.8
ALL,direct,explain_only,withhold,neutral,40,0.0,0.0,0.0,0.075,0.0,80.525,450.75,4.975
ALL,direct,explain_only,withhold,warm,40,0.0,0.0,0.475,0.15,0.0,111.275,618.45,6.9
ALL,direct,question_first,reveal,neutral,40,0.975,1.0,0.0,1.0,1.0,67.5,364.475,5.3
ALL,direct,question_first,reveal,warm,40,0.875,1.0,0.575,1.0,1.0,88.0,481.225,6.45
ALL,direct,question_first,withhold,neutral,40,0.9,0.0,0.0,1.0,0.0,73.325,406.8,5.075
ALL,direct,question_first,withhold,warm,40,0.55,0.0,0.65,1.0,0.0,108.45,592.85,6.925
ALL,explore,explain_only,reveal,neutral,40,0.0,0.85,0.0,0.025,0.875,67.05,377.525,4.85
ALL,explore,explain_only,reveal,warm,40,0.0,0.825,0.5,0.1,0.825,86.575,481.825,5.85
ALL,explore,explain_only,withhold,neutral,40,0.0,0.0,0.0,0.1,0.0,81.125,455.9,5.25
ALL,explore,explain_only,withhold,warm,40,0.0,0.0,0.575,0.175,0.0,108.8,608.175,6.2
ALL,explore,question_first,reveal,neutral,40,0.925,0.825,0.0,1.0,0.825,58.3,321.825,4.5
ALL,explore,question_first,reveal,warm,40,0.85,0.925,0.6,0.975,0.925,82.2,451.9,5.975
ALL,explore,question_first,withhold,neutral,40,0.85,0.0,0.0,1.0,0.0,51.65,286.825,2.825
ALL,explore,question_first,withhold,warm,40,0.55,0.0,0.625,1.0,0.0,89.2,486.125,5.15
MiniMax-M2.7,direct,explain_only,reveal,neutral,8,0.0,0.875,0.0,0.0,1.0,61.625,347.75,5.375
MiniMax-M2.7,direct,explain_only,reveal,warm,8,0.0,1.0,0.375,0.0,1.0,76.25,434.75,6.875
MiniMax-M2.7,direct,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.125,0.0,83.0,472.375,6.75
MiniMax-M2.7,direct,explain_only,withhold,warm,8,0.0,0.0,0.25,0.25,0.0,121.875,693.75,8.0
MiniMax-M2.7,direct,question_first,reveal,neutral,8,0.875,1.0,0.0,1.0,1.0,67.5,374.625,5.25
MiniMax-M2.7,direct,question_first,reveal,warm,8,0.875,1.0,0.75,1.0,1.0,78.875,453.625,6.375
MiniMax-M2.7,direct,question_first,withhold,neutral,8,0.5,0.0,0.0,1.0,0.0,76.25,426.25,6.625
MiniMax-M2.7,direct,question_first,withhold,warm,8,0.125,0.0,0.25,1.0,0.0,105.125,601.75,8.25
MiniMax-M2.7,explore,explain_only,reveal,neutral,8,0.0,0.625,0.0,0.0,0.625,76.875,442.875,5.5
MiniMax-M2.7,explore,explain_only,reveal,warm,8,0.0,0.75,0.5,0.25,0.75,98.75,550.125,7.75
MiniMax-M2.7,explore,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.25,0.0,86.125,485.375,6.0
MiniMax-M2.7,explore,explain_only,withhold,warm,8,0.0,0.0,0.375,0.625,0.0,118.0,682.75,7.5
MiniMax-M2.7,explore,question_first,reveal,neutral,8,0.75,0.75,0.0,1.0,0.75,49.875,281.5,4.125
MiniMax-M2.7,explore,question_first,reveal,warm,8,0.75,0.625,0.875,0.875,0.625,88.25,492.25,6.375
MiniMax-M2.7,explore,question_first,withhold,neutral,8,0.375,0.0,0.0,1.0,0.0,41.625,229.5,2.375
MiniMax-M2.7,explore,question_first,withhold,warm,8,0.0,0.0,0.875,1.0,0.0,89.625,487.75,6.125
MiniMax-M3,direct,explain_only,reveal,neutral,8,0.0,1.0,0.0,0.0,1.0,59.625,323.375,4.0
MiniMax-M3,direct,explain_only,reveal,warm,8,0.0,1.0,0.25,0.0,1.0,94.5,518.5,6.0
MiniMax-M3,direct,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.25,0.0,84.125,460.375,4.625
MiniMax-M3,direct,explain_only,withhold,warm,8,0.0,0.0,0.625,0.25,0.0,112.625,606.375,7.25
MiniMax-M3,direct,question_first,reveal,neutral,8,1.0,1.0,0.0,1.0,1.0,72.375,379.625,4.625
MiniMax-M3,direct,question_first,reveal,warm,8,0.5,1.0,0.75,1.0,1.0,104.125,554.625,6.75
MiniMax-M3,direct,question_first,withhold,neutral,8,1.0,0.0,0.0,1.0,0.0,51.25,271.625,3.125
MiniMax-M3,direct,question_first,withhold,warm,8,0.125,0.0,0.5,1.0,0.0,115.0,616.125,7.25
MiniMax-M3,explore,explain_only,reveal,neutral,8,0.0,0.75,0.0,0.125,0.75,80.625,438.0,5.375
