model,event,arm,present
MiniMax-M2.7,affect_acknowledgement,ask,0.1015625
MiniMax-M2.7,affect_acknowledgement,canonical,0.25
MiniMax-M2.7,affect_acknowledgement,explain,0.1796875
MiniMax-M2.7,affect_acknowledgement,neutral_a,0.3359375
MiniMax-M2.7,affect_acknowledgement,neutral_b,0.2734375
MiniMax-M2.7,answer_reveal,ask,0.0703125
MiniMax-M2.7,answer_reveal,canonical,1.0
MiniMax-M2.7,answer_reveal,explain,1.0
MiniMax-M2.7,answer_reveal,neutral_a,0.984375
MiniMax-M2.7,answer_reveal,neutral_b,0.9765625
MiniMax-M2.7,reasoning_elicitation,ask,1.0
MiniMax-M2.7,reasoning_elicitation,canonical,0.09375
MiniMax-M2.7,reasoning_elicitation,explain,0.0546875
MiniMax-M2.7,reasoning_elicitation,neutral_a,0.109375
MiniMax-M2.7,reasoning_elicitation,neutral_b,0.15625
MiniMax-M3,affect_acknowledgement,ask,0.484375
MiniMax-M3,affect_acknowledgement,canonical,0.6796875
MiniMax-M3,affect_acknowledgement,explain,0.640625
MiniMax-M3,affect_acknowledgement,neutral_a,0.671875
MiniMax-M3,affect_acknowledgement,neutral_b,0.6953125
MiniMax-M3,answer_reveal,ask,0.03125
MiniMax-M3,answer_reveal,canonical,0.78125
MiniMax-M3,answer_reveal,explain,1.0
MiniMax-M3,answer_reveal,neutral_a,0.7421875
MiniMax-M3,answer_reveal,neutral_b,0.734375
MiniMax-M3,reasoning_elicitation,ask,1.0
MiniMax-M3,reasoning_elicitation,canonical,0.5625
MiniMax-M3,reasoning_elicitation,explain,0.453125
MiniMax-M3,reasoning_elicitation,neutral_a,0.5390625
MiniMax-M3,reasoning_elicitation,neutral_b,0.609375
deepseek-v4-pro,affect_acknowledgement,ask,0.4609375
deepseek-v4-pro,affect_acknowledgement,canonical,0.5078125
deepseek-v4-pro,affect_acknowledgement,explain,0.3828125
deepseek-v4-pro,affect_acknowledgement,neutral_a,0.5
deepseek-v4-pro,affect_acknowledgement,neutral_b,0.5390625
deepseek-v4-pro,answer_reveal,ask,0.0
deepseek-v4-pro,answer_reveal,canonical,1.0
deepseek-v4-pro,answer_reveal,explain,1.0
deepseek-v4-pro,answer_reveal,neutral_a,0.9921875
deepseek-v4-pro,answer_reveal,neutral_b,1.0
deepseek-v4-pro,reasoning_elicitation,ask,1.0
deepseek-v4-pro,reasoning_elicitation,canonical,0.03125
deepseek-v4-pro,reasoning_elicitation,explain,0.0546875
deepseek-v4-pro,reasoning_elicitation,neutral_a,0.015625
deepseek-v4-pro,reasoning_elicitation,neutral_b,0.0390625
doubao-seed-2.0-lite,affect_acknowledgement,ask,0.4765625
doubao-seed-2.0-lite,affect_acknowledgement,canonical,0.5859375
doubao-seed-2.0-lite,affect_acknowledgement,explain,0.4296875
doubao-seed-2.0-lite,affect_acknowledgement,neutral_a,0.5859375
doubao-seed-2.0-lite,affect_acknowledgement,neutral_b,0.5625
doubao-seed-2.0-lite,answer_reveal,ask,0.0
doubao-seed-2.0-lite,answer_reveal,canonical,1.0
doubao-seed-2.0-lite,answer_reveal,explain,1.0
doubao-seed-2.0-lite,answer_reveal,neutral_a,1.0
doubao-seed-2.0-lite,answer_reveal,neutral_b,1.0
doubao-seed-2.0-lite,reasoning_elicitation,ask,1.0
doubao-seed-2.0-lite,reasoning_elicitation,canonical,0.0390625
doubao-seed-2.0-lite,reasoning_elicitation,explain,0.015625
doubao-seed-2.0-lite,reasoning_elicitation,neutral_a,0.03125
doubao-seed-2.0-lite,reasoning_elicitation,neutral_b,0.03125
glm-5.3,affect_acknowledgement,ask,0.4765625
glm-5.3,affect_acknowledgement,canonical,0.4921875
glm-5.3,affect_acknowledgement,explain,0.4609375
glm-5.3,affect_acknowledgement,neutral_a,0.5625
glm-5.3,affect_acknowledgement,neutral_b,0.6484375
glm-5.3,answer_reveal,ask,0.0
glm-5.3,answer_reveal,canonical,0.2734375
glm-5.3,answer_reveal,explain,1.0
glm-5.3,answer_reveal,neutral_a,0.2890625
glm-5.3,answer_reveal,neutral_b,0.4296875
glm-5.3,reasoning_elicitation,ask,1.0
glm-5.3,reasoning_elicitation,canonical,0.953125
glm-5.3,reasoning_elicitation,explain,0.625
glm-5.3,reasoning_elicitation,neutral_a,0.9765625
glm-5.3,reasoning_elicitation,neutral_b,0.9140625
