sample_id,base_id,problem_family,learner_need,question_policy,answer_policy,tone_policy,model,prompt_sha256,response_sha256,question_first,question_any,answer_reveal_any,answer_reveal_correct,warmth_marker,word_count,char_count,sentence_count,wording_set,paraphrase_queue_rank
paraphrase-v1|arithmetic_mean-01|direct|explain_only|reveal|neutral|paraphrase_a,arithmetic_mean-01,arithmetic_mean,direct,explain_only,reveal,neutral,MiniMax-M2.7,e6cf70e27e85d838515023f34f7ddd96636a07a9777b7a0d601bf76e35e3d6d5,e248a17988923bb5397352218e85b2025b9fdaf60ef1cfae26a03cb2ba8355b3,0,0,1,1,0,35,187,3,paraphrase_a,176
paraphrase-v1|arithmetic_mean-01|direct|explain_only|reveal|neutral|paraphrase_a,arithmetic_mean-01,arithmetic_mean,direct,explain_only,reveal,neutral,MiniMax-M3,e6cf70e27e85d838515023f34f7ddd96636a07a9777b7a0d601bf76e35e3d6d5,1e9e997612dde791201af7d7c1802d9c6646fe2672dbe7c40241d012d3124010,0,0,1,1,0,49,240,4,paraphrase_a,75
paraphrase-v1|arithmetic_mean-01|direct|explain_only|reveal|neutral|paraphrase_a,arithmetic_mean-01,arithmetic_mean,direct,explain_only,reveal,neutral,deepseek-v4-pro,e6cf70e27e85d838515023f34f7ddd96636a07a9777b7a0d601bf76e35e3d6d5,003ac950afc4ed70fe47ff9bec491e99cd465dd2cca9f7d45da199d5077ccf71,0,0,1,1,0,54,280,4,paraphrase_a,59
paraphrase-v1|arithmetic_mean-01|direct|explain_only|reveal|neutral|paraphrase_a,arithmetic_mean-01,arithmetic_mean,direct,explain_only,reveal,neutral,doubao-seed-2.0-lite,e6cf70e27e85d838515023f34f7ddd96636a07a9777b7a0d601bf76e35e3d6d5,b527e56ed96ad007c564b02c81cef6ecd9171f1fb3e85c0c6e1588b0988fe745,0,0,1,1,0,62,310,5,paraphrase_a,178
paraphrase-v1|arithmetic_mean-01|direct|explain_only|reveal|neutral|paraphrase_a,arithmetic_mean-01,arithmetic_mean,direct,explain_only,reveal,neutral,glm-5.2,e6cf70e27e85d838515023f34f7ddd96636a07a9777b7a0d601bf76e35e3d6d5,f9f4c3fe371a171bad86c1715ad632d8555e952c4f478616ca8eff4529aa6fcb,0,0,1,1,0,43,215,4,paraphrase_a,135
paraphrase-v1|arithmetic_mean-01|direct|explain_only|reveal|neutral|paraphrase_b,arithmetic_mean-01,arithmetic_mean,direct,explain_only,reveal,neutral,MiniMax-M2.7,5484e14205d4c867b2d4818a0c45ea2da7024e17391eefd1f3fc0cb1241ab7b4,5c2a717daef9bddccc4413e7e353fd98ef2e0c9193351317874401bc08dbeb6b,0,0,1,1,0,34,174,5,paraphrase_b,39
paraphrase-v1|arithmetic_mean-01|direct|explain_only|reveal|neutral|paraphrase_b,arithmetic_mean-01,arithmetic_mean,direct,explain_only,reveal,neutral,MiniMax-M3,5484e14205d4c867b2d4818a0c45ea2da7024e17391eefd1f3fc0cb1241ab7b4,44af450c7ea7beb2a7084303f4c158027336c4c82767359c73f96708ea252bbf,0,0,1,1,0,62,315,5,paraphrase_b,93
paraphrase-v1|arithmetic_mean-01|direct|explain_only|reveal|neutral|paraphrase_b,arithmetic_mean-01,arithmetic_mean,direct,explain_only,reveal,neutral,deepseek-v4-pro,5484e14205d4c867b2d4818a0c45ea2da7024e17391eefd1f3fc0cb1241ab7b4,7323ac337272e28e43998f578e1889b10f9ec5578c39a600e9c9ee019eae9afc,0,0,1,1,0,44,227,6,paraphrase_b,81
paraphrase-v1|arithmetic_mean-01|direct|explain_only|reveal|neutral|paraphrase_b,arithmetic_mean-01,arithmetic_mean,direct,explain_only,reveal,neutral,doubao-seed-2.0-lite,5484e14205d4c867b2d4818a0c45ea2da7024e17391eefd1f3fc0cb1241ab7b4,b5bc28517fe79c07db7eb7aa1d1a1480fb5e1df8b265877695784dd3ea937889,0,0,1,1,0,60,277,5,paraphrase_b,36
paraphrase-v1|arithmetic_mean-01|direct|explain_only|reveal|neutral|paraphrase_b,arithmetic_mean-01,arithmetic_mean,direct,explain_only,reveal,neutral,glm-5.2,5484e14205d4c867b2d4818a0c45ea2da7024e17391eefd1f3fc0cb1241ab7b4,e244955fcb40a6bae499145d9c8d20c1618685fceaab9c16633e2a5cccb25f6f,0,0,1,1,0,39,182,5,paraphrase_b,208
paraphrase-v1|arithmetic_mean-01|direct|explain_only|reveal|warm|paraphrase_a,arithmetic_mean-01,arithmetic_mean,direct,explain_only,reveal,warm,MiniMax-M2.7,514219333736f1140cafac80e29306e4ef4eac0b703c06a147074ce7f743e4b0,3abfaadedc52ec7fbd34f386110c9f570cfbe233b116aaaca31a282d91271568,0,0,1,1,1,53,295,5,paraphrase_a,249
paraphrase-v1|arithmetic_mean-01|direct|explain_only|reveal|warm|paraphrase_a,arithmetic_mean-01,arithmetic_mean,direct,explain_only,reveal,warm,MiniMax-M3,514219333736f1140cafac80e29306e4ef4eac0b703c06a147074ce7f743e4b0,eb7f6d99238dbf6bacf984790fd8aba836c61c8c6b851e767a296659c5d2ee2f,0,0,1,1,1,59,319,4,paraphrase_a,78
paraphrase-v1|arithmetic_mean-01|direct|explain_only|reveal|warm|paraphrase_a,arithmetic_mean-01,arithmetic_mean,direct,explain_only,reveal,warm,deepseek-v4-pro,514219333736f1140cafac80e29306e4ef4eac0b703c06a147074ce7f743e4b0,c4a6a72d476f7df33f59aa316a7e07ee419fb77757e143cb4072c90fffba62d0,0,0,1,0,0,60,336,4,paraphrase_a,112
paraphrase-v1|arithmetic_mean-01|direct|explain_only|reveal|warm|paraphrase_a,arithmetic_mean-01,arithmetic_mean,direct,explain_only,reveal,warm,doubao-seed-2.0-lite,514219333736f1140cafac80e29306e4ef4eac0b703c06a147074ce7f743e4b0,de825de46eb4784ae840d1153865bddeccbcc10e3cbd8c98261187b6682ccfc0,0,0,1,1,0,102,536,5,paraphrase_a,91
paraphrase-v1|arithmetic_mean-01|direct|explain_only|reveal|warm|paraphrase_a,arithmetic_mean-01,arithmetic_mean,direct,explain_only,reveal,warm,glm-5.2,514219333736f1140cafac80e29306e4ef4eac0b703c06a147074ce7f743e4b0,25702badcf093784656616b000be59381a7abc4c6470b9e7c207674cc6d33abf,0,0,1,1,0,53,253,4,paraphrase_a,239
paraphrase-v1|arithmetic_mean-01|direct|explain_only|reveal|warm|paraphrase_b,arithmetic_mean-01,arithmetic_mean,direct,explain_only,reveal,warm,MiniMax-M2.7,0b8493e9ab96a697c401bd2881e1488f61da05eb6b293467f6baa6d78ab1f64c,bc03069448457873dc01a8afafcf41125200829b3d92c97d138190263b91a476,0,0,1,1,0,34,170,3,paraphrase_b,124
paraphrase-v1|arithmetic_mean-01|direct|explain_only|reveal|warm|paraphrase_b,arithmetic_mean-01,arithmetic_mean,direct,explain_only,reveal,warm,MiniMax-M3,0b8493e9ab96a697c401bd2881e1488f61da05eb6b293467f6baa6d78ab1f64c,711d3e90d1f1f9bb497934f571e04277e203e2905df72650ba055e2d6b391694,0,0,1,1,0,60,304,5,paraphrase_b,148
paraphrase-v1|arithmetic_mean-01|direct|explain_only|reveal|warm|paraphrase_b,arithmetic_mean-01,arithmetic_mean,direct,explain_only,reveal,warm,deepseek-v4-pro,0b8493e9ab96a697c401bd2881e1488f61da05eb6b293467f6baa6d78ab1f64c,abd060d23bd824d2ce57a728204f6535c430a0a0f186104fb61befe1ebe67f75,0,0,1,1,0,42,217,4,paraphrase_b,13
paraphrase-v1|arithmetic_mean-01|direct|explain_only|reveal|warm|paraphrase_b,arithmetic_mean-01,arithmetic_mean,direct,explain_only,reveal,warm,doubao-seed-2.0-lite,0b8493e9ab96a697c401bd2881e1488f61da05eb6b293467f6baa6d78ab1f64c,ce3b8a2fe8a00c021c68800c9dcd3a2b1de8cc7fb7252edcd6bc52ccd8f86bf5,0,0,1,1,0,64,310,5,paraphrase_b,134
paraphrase-v1|arithmetic_mean-01|direct|explain_only|reveal|warm|paraphrase_b,arithmetic_mean-01,arithmetic_mean,direct,explain_only,reveal,warm,glm-5.2,0b8493e9ab96a697c401bd2881e1488f61da05eb6b293467f6baa6d78ab1f64c,3986fe3089ad9889ed614b973188813af21da66dcdbeb91a6aa7637fa6a40753,0,0,1,1,0,53,285,5,paraphrase_b,27
paraphrase-v1|arithmetic_mean-01|direct|explain_only|withhold|neutral|paraphrase_a,arithmetic_mean-01,arithmetic_mean,direct,explain_only,withhold,neutral,MiniMax-M2.7,d9a1791427a81e0709251caef9bf0a1464f0749fc98fced23b0681ab575f23c4,2f9fc0bd0ba1ce3fb18a6dfe4e8d85af71ba258a5fbb387a64361ad78e2216cf,0,0,0,0,0,49,259,4,paraphrase_a,246
paraphrase-v1|arithmetic_mean-01|direct|explain_only|withhold|neutral|paraphrase_a,arithmetic_mean-01,arithmetic_mean,direct,explain_only,withhold,neutral,MiniMax-M3,d9a1791427a81e0709251caef9bf0a1464f0749fc98fced23b0681ab575f23c4,e804fc53c456538920a7b5f97630fa35003b1c3eabde2c90d28d4c34a7419199,0,0,0,0,0,80,422,6,paraphrase_a,143
paraphrase-v1|arithmetic_mean-01|direct|explain_only|withhold|neutral|paraphrase_a,arithmetic_mean-01,arithmetic_mean,direct,explain_only,withhold,neutral,deepseek-v4-pro,d9a1791427a81e0709251caef9bf0a1464f0749fc98fced23b0681ab575f23c4,137c05983ee6eaed3e31a1bcb1ac0a64b56bba80082b0c98425ea78680a70850,0,0,0,0,0,54,260,3,paraphrase_a,7
paraphrase-v1|arithmetic_mean-01|direct|explain_only|withhold|neutral|paraphrase_a,arithmetic_mean-01,arithmetic_mean,direct,explain_only,withhold,neutral,doubao-seed-2.0-lite,d9a1791427a81e0709251caef9bf0a1464f0749fc98fced23b0681ab575f23c4,1f1a81ee3d5797f5c207b9778eed86334a52e092136f7f2d9b81fa9143f746c5,0,0,0,0,0,82,431,4,paraphrase_a,251
paraphrase-v1|arithmetic_mean-01|direct|explain_only|withhold|neutral|paraphrase_a,arithmetic_mean-01,arithmetic_mean,direct,explain_only,withhold,neutral,glm-5.2,d9a1791427a81e0709251caef9bf0a1464f0749fc98fced23b0681ab575f23c4,8ed17e9aa12c5dbb54d8ac44e7a326dd47c2d4cb325ac903c9edf04649fbbf5a,0,0,0,0,0,64,318,5,paraphrase_a,138
paraphrase-v1|arithmetic_mean-01|direct|explain_only|withhold|neutral|paraphrase_b,arithmetic_mean-01,arithmetic_mean,direct,explain_only,withhold,neutral,MiniMax-M2.7,5252ababd5d7aff151c1703fe9808fa488a7c9872ea7a0bb335c361216de8524,39c41ae4dfb0ae754a041e2b2f8937ca6c147f792c404a5aacf446d1054d5588,0,0,0,0,0,37,182,4,paraphrase_b,128
paraphrase-v1|arithmetic_mean-01|direct|explain_only|withhold|neutral|paraphrase_b,arithmetic_mean-01,arithmetic_mean,direct,explain_only,withhold,neutral,MiniMax-M3,5252ababd5d7aff151c1703fe9808fa488a7c9872ea7a0bb335c361216de8524,629c01f3d688ebe62c3273a023e18af1ff984c6a04de29d73285645b83d171b2,0,0,0,0,0,47,245,3,paraphrase_b,224
paraphrase-v1|arithmetic_mean-01|direct|explain_only|withhold|neutral|paraphrase_b,arithmetic_mean-01,arithmetic_mean,direct,explain_only,withhold,neutral,deepseek-v4-pro,5252ababd5d7aff151c1703fe9808fa488a7c9872ea7a0bb335c361216de8524,1850b2ef2172b57174901970111d7ae17287c0eba3b7648c8f978b0d079229db,0,0,0,0,0,34,165,4,paraphrase_b,26
paraphrase-v1|arithmetic_mean-01|direct|explain_only|withhold|neutral|paraphrase_b,arithmetic_mean-01,arithmetic_mean,direct,explain_only,withhold,neutral,doubao-seed-2.0-lite,5252ababd5d7aff151c1703fe9808fa488a7c9872ea7a0bb335c361216de8524,a089fbddcb24cd03dc335c53c51279a2578c8c39b8fe1e25f6325cfe41ed59f7,0,0,0,0,0,63,330,3,paraphrase_b,74
paraphrase-v1|arithmetic_mean-01|direct|explain_only|withhold|neutral|paraphrase_b,arithmetic_mean-01,arithmetic_mean,direct,explain_only,withhold,neutral,glm-5.2,5252ababd5d7aff151c1703fe9808fa488a7c9872ea7a0bb335c361216de8524,cdc4848abadd9d235d94b1d67969a6983c093b0a0cfc7a84f78e1ab252d83c66,0,0,0,0,0,32,148,3,paraphrase_b,80
paraphrase-v1|arithmetic_mean-01|direct|explain_only|withhold|warm|paraphrase_a,arithmetic_mean-01,arithmetic_mean,direct,explain_only,withhold,warm,MiniMax-M2.7,15a977e5b01f48f02a6dcce43db9c13a8c77383d3c6d85aa34b92b900152fc08,5243bc780f4d2cc014a1122d8341313635c5a01021a25d3fe431183611183b81,0,0,0,0,0,79,422,6,paraphrase_a,58
paraphrase-v1|arithmetic_mean-01|direct|explain_only|withhold|warm|paraphrase_a,arithmetic_mean-01,arithmetic_mean,direct,explain_only,withhold,warm,MiniMax-M3,15a977e5b01f48f02a6dcce43db9c13a8c77383d3c6d85aa34b92b900152fc08,4a940f1dcaa4d856674581d33410da3b93f37430620f1bce64900d9b831cd2b1,0,0,0,0,0,82,428,6,paraphrase_a,71
paraphrase-v1|arithmetic_mean-01|direct|explain_only|withhold|warm|paraphrase_a,arithmetic_mean-01,arithmetic_mean,direct,explain_only,withhold,warm,deepseek-v4-pro,15a977e5b01f48f02a6dcce43db9c13a8c77383d3c6d85aa34b92b900152fc08,cb8b3a18172d8842be5b73cc18fa925af5f5382384061ddb30399f7e4d8b0bd9,0,0,0,0,0,66,350,4,paraphrase_a,241
paraphrase-v1|arithmetic_mean-01|direct|explain_only|withhold|warm|paraphrase_a,arithmetic_mean-01,arithmetic_mean,direct,explain_only,withhold,warm,doubao-seed-2.0-lite,15a977e5b01f48f02a6dcce43db9c13a8c77383d3c6d85aa34b92b900152fc08,682bd8e4f3e245e3045f3224c9e846b4f458605de26897ee9befcc80d771abf4,0,0,0,0,0,103,558,4,paraphrase_a,120
paraphrase-v1|arithmetic_mean-01|direct|explain_only|withhold|warm|paraphrase_a,arithmetic_mean-01,arithmetic_mean,direct,explain_only,withhold,warm,glm-5.2,15a977e5b01f48f02a6dcce43db9c13a8c77383d3c6d85aa34b92b900152fc08,64f64ae40016fa7f67b06433ad6f276092857e4b323c275b2e8681cfa9a9d798,0,0,0,0,0,85,438,5,paraphrase_a,204
paraphrase-v1|arithmetic_mean-01|direct|explain_only|withhold|warm|paraphrase_b,arithmetic_mean-01,arithmetic_mean,direct,explain_only,withhold,warm,MiniMax-M2.7,66ee968c6a2041565548eb0e363c160191058830268a316b862b707466694b35,7a204cde7119b47c3183000fb072e85e80ab7d9800f792a843b593b97be339ce,0,0,0,0,0,46,263,4,paraphrase_b,126
paraphrase-v1|arithmetic_mean-01|direct|explain_only|withhold|warm|paraphrase_b,arithmetic_mean-01,arithmetic_mean,direct,explain_only,withhold,warm,MiniMax-M3,66ee968c6a2041565548eb0e363c160191058830268a316b862b707466694b35,cab55c24008b9762364a1f087bf5f795ddeb334080049f896ddf049e8d0d91a9,0,0,0,0,0,53,284,3,paraphrase_b,49
paraphrase-v1|arithmetic_mean-01|direct|explain_only|withhold|warm|paraphrase_b,arithmetic_mean-01,arithmetic_mean,direct,explain_only,withhold,warm,deepseek-v4-pro,66ee968c6a2041565548eb0e363c160191058830268a316b862b707466694b35,cf8acbb9474a3b947d08b66e2bc3cf45706ba9823ec74371c287da1bcb7063ff,0,0,0,0,0,37,209,4,paraphrase_b,124
