benchmark,task,arm,split,item_id,pair_id,model,response_sha256,judge,candidate_label,candidate_position,dimension,score,confidence
mathtutorbench_pedagogy,mathdial_standard,pedagogy,formal,pedagogy-1041,1041,minimax-m3,79b6fc543831a902bab46786bc5b69dfde0f3e4f68afb9f396f9821d525253c8,glm-5.2,A,1,instructional_agency,1,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,formal,pedagogy-1041,1041,minimax-m3,79b6fc543831a902bab46786bc5b69dfde0f3e4f68afb9f396f9821d525253c8,glm-5.2,A,1,relational_communion,3,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,formal,pedagogy-1041,1041,minimax-m3,79b6fc543831a902bab46786bc5b69dfde0f3e4f68afb9f396f9821d525253c8,glm-5.2,A,1,next_step_actionability,4,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,formal,pedagogy-1041,1041,doubao-seed-2.0-pro,622ccb689c365ccef487b18c422197682a8bab1f7535e3053385a6448053392b,glm-5.2,B,2,instructional_agency,4,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,formal,pedagogy-1041,1041,doubao-seed-2.0-pro,622ccb689c365ccef487b18c422197682a8bab1f7535e3053385a6448053392b,glm-5.2,B,2,relational_communion,4,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,formal,pedagogy-1041,1041,doubao-seed-2.0-pro,622ccb689c365ccef487b18c422197682a8bab1f7535e3053385a6448053392b,glm-5.2,B,2,next_step_actionability,4,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,formal,pedagogy-1041,1041,glm-5.2,68f292c1dde32e61454dca13b0f3f15943a23b7a7c0d69c01373f28114b9e1bd,glm-5.2,C,3,instructional_agency,2,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,formal,pedagogy-1041,1041,glm-5.2,68f292c1dde32e61454dca13b0f3f15943a23b7a7c0d69c01373f28114b9e1bd,glm-5.2,C,3,relational_communion,4,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,formal,pedagogy-1041,1041,glm-5.2,68f292c1dde32e61454dca13b0f3f15943a23b7a7c0d69c01373f28114b9e1bd,glm-5.2,C,3,next_step_actionability,4,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,formal,pedagogy-1041,1041,minimax-m2.7,404c09a1e3c303eec7f2549a410731a1643147f4dad7fdf2a7ce1005b35fa1e3,glm-5.2,D,4,instructional_agency,2,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,formal,pedagogy-1041,1041,minimax-m2.7,404c09a1e3c303eec7f2549a410731a1643147f4dad7fdf2a7ce1005b35fa1e3,glm-5.2,D,4,relational_communion,3,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,formal,pedagogy-1041,1041,minimax-m2.7,404c09a1e3c303eec7f2549a410731a1643147f4dad7fdf2a7ce1005b35fa1e3,glm-5.2,D,4,next_step_actionability,4,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,formal,pedagogy-1041,1041,deepseek-v4-pro,92c84099c4f17c1206a549d233c3d5cedd55d539127996aeccfef1b9f75e6b73,glm-5.2,E,5,instructional_agency,2,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,formal,pedagogy-1041,1041,deepseek-v4-pro,92c84099c4f17c1206a549d233c3d5cedd55d539127996aeccfef1b9f75e6b73,glm-5.2,E,5,relational_communion,3,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,formal,pedagogy-1041,1041,deepseek-v4-pro,92c84099c4f17c1206a549d233c3d5cedd55d539127996aeccfef1b9f75e6b73,glm-5.2,E,5,next_step_actionability,4,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,formal,pedagogy-1041,1041,qwen3.5-4b,270db951802ed94cd3e6392ae542a8be4420129aafc20ba19bf17b5fd0132850,glm-5.2,F,6,instructional_agency,2,4
mathtutorbench_pedagogy,mathdial_standard,pedagogy,formal,pedagogy-1041,1041,qwen3.5-4b,270db951802ed94cd3e6392ae542a8be4420129aafc20ba19bf17b5fd0132850,glm-5.2,F,6,relational_communion,4,4
