arm,cue_family,model,event,size,mean
canonical,fixed,MiniMax-M2.7,affect_acknowledgement,256,0.25390625
canonical,fixed,MiniMax-M2.7,answer_reveal,256,0.98828125
canonical,fixed,MiniMax-M2.7,reasoning_elicitation,256,0.07421875
canonical,fixed,MiniMax-M3,affect_acknowledgement,256,0.7265625
canonical,fixed,MiniMax-M3,answer_reveal,256,0.81640625
canonical,fixed,MiniMax-M3,reasoning_elicitation,256,0.48046875
canonical,fixed,deepseek-v4-pro,affect_acknowledgement,256,0.5546875
canonical,fixed,deepseek-v4-pro,answer_reveal,256,0.98828125
canonical,fixed,deepseek-v4-pro,reasoning_elicitation,256,0.0234375
canonical,fixed,doubao-seed-2.0-lite,affect_acknowledgement,256,0.59375
canonical,fixed,doubao-seed-2.0-lite,answer_reveal,256,1.0
canonical,fixed,doubao-seed-2.0-lite,reasoning_elicitation,256,0.01953125
canonical,fixed,glm-5.3,affect_acknowledgement,256,0.5546875
canonical,fixed,glm-5.3,answer_reveal,256,0.20703125
canonical,fixed,glm-5.3,reasoning_elicitation,256,0.98828125
explicit,0,MiniMax-M2.7,affect_acknowledgement,64,0.234375
explicit,0,MiniMax-M2.7,answer_reveal,64,0.984375
explicit,0,MiniMax-M2.7,reasoning_elicitation,64,0.0625
explicit,0,MiniMax-M3,affect_acknowledgement,64,0.546875
explicit,0,MiniMax-M3,answer_reveal,64,0.859375
explicit,0,MiniMax-M3,reasoning_elicitation,64,0.421875
explicit,0,deepseek-v4-pro,affect_acknowledgement,64,0.484375
explicit,0,deepseek-v4-pro,answer_reveal,64,1.0
explicit,0,deepseek-v4-pro,reasoning_elicitation,64,0.0
explicit,0,doubao-seed-2.0-lite,affect_acknowledgement,64,0.578125
explicit,0,doubao-seed-2.0-lite,answer_reveal,64,1.0
explicit,0,doubao-seed-2.0-lite,reasoning_elicitation,64,0.046875
explicit,0,glm-5.3,affect_acknowledgement,64,0.46875
explicit,0,glm-5.3,answer_reveal,64,0.296875
explicit,0,glm-5.3,reasoning_elicitation,64,0.984375
explicit,1,MiniMax-M2.7,affect_acknowledgement,64,0.265625
explicit,1,MiniMax-M2.7,answer_reveal,64,0.984375
explicit,1,MiniMax-M2.7,reasoning_elicitation,64,0.015625
explicit,1,MiniMax-M3,affect_acknowledgement,64,0.484375
explicit,1,MiniMax-M3,answer_reveal,64,0.828125
explicit,1,MiniMax-M3,reasoning_elicitation,64,0.453125
explicit,1,deepseek-v4-pro,affect_acknowledgement,64,0.578125
explicit,1,deepseek-v4-pro,answer_reveal,64,1.0
explicit,1,deepseek-v4-pro,reasoning_elicitation,64,0.03125
explicit,1,doubao-seed-2.0-lite,affect_acknowledgement,64,0.5625
explicit,1,doubao-seed-2.0-lite,answer_reveal,64,1.0
explicit,1,doubao-seed-2.0-lite,reasoning_elicitation,64,0.015625
explicit,1,glm-5.3,affect_acknowledgement,64,0.46875
explicit,1,glm-5.3,answer_reveal,64,0.28125
explicit,1,glm-5.3,reasoning_elicitation,64,0.90625
explicit,2,MiniMax-M2.7,affect_acknowledgement,64,0.234375
explicit,2,MiniMax-M2.7,answer_reveal,64,1.0
explicit,2,MiniMax-M2.7,reasoning_elicitation,64,0.140625
explicit,2,MiniMax-M3,affect_acknowledgement,64,0.515625
explicit,2,MiniMax-M3,answer_reveal,64,0.703125
explicit,2,MiniMax-M3,reasoning_elicitation,64,0.578125
explicit,2,deepseek-v4-pro,affect_acknowledgement,64,0.40625
explicit,2,deepseek-v4-pro,answer_reveal,64,1.0
explicit,2,deepseek-v4-pro,reasoning_elicitation,64,0.0
explicit,2,doubao-seed-2.0-lite,affect_acknowledgement,64,0.5625
explicit,2,doubao-seed-2.0-lite,answer_reveal,64,1.0
explicit,2,doubao-seed-2.0-lite,reasoning_elicitation,64,0.0625
explicit,2,glm-5.3,affect_acknowledgement,64,0.5
explicit,2,glm-5.3,answer_reveal,64,0.109375
explicit,2,glm-5.3,reasoning_elicitation,64,0.984375
explicit,3,MiniMax-M2.7,affect_acknowledgement,64,0.328125
explicit,3,MiniMax-M2.7,answer_reveal,64,1.0
explicit,3,MiniMax-M2.7,reasoning_elicitation,64,0.078125
explicit,3,MiniMax-M3,affect_acknowledgement,64,0.578125
explicit,3,MiniMax-M3,answer_reveal,64,0.78125
explicit,3,MiniMax-M3,reasoning_elicitation,64,0.5
explicit,3,deepseek-v4-pro,affect_acknowledgement,64,0.625
explicit,3,deepseek-v4-pro,answer_reveal,64,1.0
explicit,3,deepseek-v4-pro,reasoning_elicitation,64,0.0
